"No.","Time","Source","Destination","Protocol","Length","Info"
"64","17.896769600","192.168.1.12","146.190.62.39","TCP","66","57902  >  80 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=90926621 TSecr=3401210582"
"65","17.897012450","192.168.1.12","146.190.62.39","HTTP","565","GET / HTTP/1.1 "
"66","17.912789748","192.168.1.12","146.190.62.39","TCP","74","57914  >  80 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=90926637 TSecr=0 WS=128"
"67","17.917043691","146.190.62.39","192.168.1.12","TCP","74","80  >  57888 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1412 SACK_PERM TSval=3401210581 TSecr=90926387 WS=128"
"68","17.917081203","192.168.1.12","146.190.62.39","TCP","66","57888  >  80 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=90926642 TSecr=3401210581"
"69","18.119771498","146.190.62.39","192.168.1.12","TCP","74","80  >  57914 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1412 SACK_PERM TSval=3401210814 TSecr=90926637 WS=128"
"70","18.119771632","146.190.62.39","192.168.1.12","TCP","66","80  >  57902 [ACK] Seq=1 Ack=500 Win=64768 Len=0 TSval=3401210814 TSecr=90926622"
"71","18.119771672","146.190.62.39","192.168.1.12","HTTP","815","HTTP/1.1 304 Not Modified "
"72","18.119822310","192.168.1.12","146.190.62.39","TCP","66","57914  >  80 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=90926844 TSecr=3401210814"
"73","18.119844408","192.168.1.12","146.190.62.39","TCP","66","57902  >  80 [ACK] Seq=500 Ack=750 Win=31872 Len=0 TSval=90926844 TSecr=3401210814"
"74","18.160417118","192.168.1.12","8.8.8.8","DNS","106","Standard query 0x14de AAAA cdnjs.cloudflare.com"
"75","18.165807218","192.168.1.12","104.17.24.14","TCP","74","55812  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=845083120 TSecr=0 WS=128"
"76","18.205649326","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x4123 A www.facebook.com"
"77","18.205828975","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x2df0 AAAA www.facebook.com"
"78","18.206091938","192.168.1.12","8.8.8.8","DNS","97","Standard query 0x97c7 A twitter.com"
"79","18.206279738","192.168.1.12","8.8.8.8","DNS","97","Standard query 0x751f AAAA twitter.com"
"80","18.206799403","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x9630 A www.linkedin.com"
"81","18.207025743","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x7f36 AAAA www.linkedin.com"
"82","18.207276013","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x66fa A scotthelme.co.uk"
"83","18.207492231","192.168.1.12","8.8.8.8","DNS","102","Standard query 0x134b AAAA scotthelme.co.uk"
"84","18.207723280","192.168.1.12","8.8.8.8","DNS","96","Standard query 0xd890 A github.com"
"85","18.222074858","104.17.24.14","192.168.1.12","TCP","74","443  >  55812 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=3746786444 TSecr=845083120 WS=8192"
"86","18.222103980","192.168.1.12","104.17.24.14","TCP","66","55812  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=845083177 TSecr=3746786444"
"87","18.223120962","192.168.1.12","104.17.24.14","TLSv1.3","1229","Client Hello (SNI=cdnjs.cloudflare.com)"
"88","18.223306518","192.168.1.12","104.17.24.14","TLSv1.3","72","Change Cipher Spec"
"89","18.223343166","192.168.1.12","104.17.24.14","TLSv1.3","158","Application Data"
"90","18.264390048","8.8.8.8","192.168.1.12","TCP","78","[TCP Dup ACK 46#1] 53  >  39958 [ACK] Seq=187 Ack=111 Win=268800 Len=0 TSval=75113583 TSecr=3933965084 SLE=187 SRE=223"
"91","18.264390241","8.8.8.8","192.168.1.12","TCP","86","[TCP Dup ACK 46#2] 53  >  39958 [ACK] Seq=187 Ack=111 Win=268800 Len=0 TSval=75113584 TSecr=3933965084 SLE=254 SRE=285 SLE=187 SRE=223"
"92","18.264390310","8.8.8.8","192.168.1.12","TCP","86","53  >  39958 [ACK] Seq=187 Ack=151 Win=268800 Len=0 TSval=75113584 TSecr=3933965584 SLE=254 SRE=285 SLE=187 SRE=223"
"93","18.264390370","8.8.8.8","192.168.1.12","TCP","78","53  >  39958 [ACK] Seq=187 Ack=223 Win=268800 Len=0 TSval=75113584 TSecr=3933965629 SLE=254 SRE=285"
